Company,Total Emission (Mt), Gross Carbon Cost ($M) , Pass-through Benefit ($M) , EU CBAM Liability ($B) , Net Carbon Impact ($M) , Domestic Carbon Cost ($B) , Net Compliance Cost ($B) , Carbon Mitigation ($B) , Final Net Compliance Cost ($B) 
Nucor,10.75, $752.50 , $301.00 , $-   , $451.50 , $0.45 , $0.45 , $0.30 , $0.15 
Steel Dynamics,6.5, $455.00 , $182.00 , $-   , $273.00 , $0.27 , $0.27 , $0.18 , $0.09 
ArcelorMittal,101.5," $7,105.00 "," $2,842.00 ", $0.47 ," $4,263.47 ", $4.26 , $4.74 , $2.84 , $1.89 
Baowu Steel,273," $19,110.00 "," $7,644.00 ", $0.63 ," $11,466.63 ", $11.47 , $12.10 , $7.64 , $4.45 
POSCO,81.9," $5,733.00 "," $2,293.20 ", $0.25 ," $3,440.05 ", $3.44 , $3.69 , $2.29 , $1.39 
Nippon Steel,90.2," $6,314.00 "," $2,525.60 ", $0.23 ," $3,788.63 ", $3.79 , $4.02 , $2.53 , $1.50 
Tata Steel,68.82," $4,817.40 "," $1,926.96 ", $0.22 ," $2,890.66 ", $2.89 , $3.11 , $1.93 , $1.18 
JSW Steel,65.8," $4,606.00 "," $1,842.40 ", $0.17 ," $2,763.77 ", $2.76 , $2.93 , $1.84 , $1.09 
Thyssenkrupp,23.65," $1,655.50 ", $662.20 , $0.74 , $994.04 , $0.99 , $1.74 , $0.66 , $1.07 
Voestalpine,11.2, $784.00 , $313.60 , $0.13 , $470.53 , $0.47 , $0.60 , $0.31 , $0.28 
