Company,Region,Production (Mt),EAF Share %,BF-BOF Share %,Emission Intensity (tCO?/t steel), Revenue ($B) , Base EBITDA ($B) ,EU Exports (Mt)
Nucor,USA,25,100%,0%,0.43, $35.00 , $5.30 ,0.5
Steel Dynamics,USA,13,100%,0%,0.5, $18.00 , $3.50 ,0.2
ArcelorMittal,Europe/Global,58,20%,80%,1.75, $68.00 , $6.50 ,15
Baowu Steel,China,130,10%,90%,2.1, $150.00 , $12.00 ,10
POSCO,South Korea,42,15%,85%,1.95, $60.00 , $5.50 ,5
Nippon Steel,Japan,44,10%,90%,2.05, $55.00 , $5.00 ,4
Tata Steel,India,31,10%,90%,2.22, $26.00 , $3.10 ,3
JSW Steel,India,28,15%,85%,2.35, $22.00 , $2.80 ,2
Thyssenkrupp,Germany,11,5%,95%,2.15, $40.00 , $2.50 ,11
Voestalpine,Austria,7,10%,90%,1.6, $18.00 , $2.20 ,7
