Company, Steel Cost Cost ($B) , Pass-through ($B) , Stress Mitigation ($B) , Stress Compliance Cost ($B) , Stress Adjusted EBITDA ,Stress Erosion %
Nucor, $1.08 , $0.43 , $0.04 , $0.61 , $4.70 ,11%
Steel Dynamics, $0.65 , $0.26 , $0.04 , $0.35 , $3.15 ,10%
ArcelorMittal, $10.15 , $4.06 , $0.04 , $6.05 , $0.45 ,93%
Baowu Steel, $27.30 , $10.92 , $0.04 , $16.34 , $-4.34 ,136%
POSCO, $8.19 , $3.28 , $0.04 , $4.87 , $0.63 ,89%
Nippon Steel, $9.02 , $3.61 , $0.04 , $5.37 , $-0.37 ,107%
Tata Steel, $6.88 , $2.75 , $0.04 , $4.09 , $-0.99 ,132%
JSW Steel, $6.58 , $2.63 , $0.04 , $3.91 , $-1.11 ,140%
Thyssenkrupp, $2.37 , $0.95 , $0.04 , $1.38 , $1.12 ,55%
Voestalpine, $1.12 , $0.45 , $0.04 , $0.63 , $1.57 ,29%
